localminute,dataid,meter_value
2015-10-01 10:47:27-05,7117,211826
2015-10-01 10:47:32-05,2034,72394
2015-10-01 10:47:37-05,252,329242
2015-10-01 10:48:14-05,1714,147060
2015-10-01 10:48:18-05,871,106464
2015-10-01 10:48:19-05,5193,149826
2015-10-01 10:48:20-05,94,116646
2015-10-01 10:48:21-05,7287,221050
2015-10-01 10:48:22-05,8084,91772
2015-10-01 10:48:37-05,252,329242
2015-10-01 10:49:13-05,4029,299900
2015-10-01 10:49:15-05,5810,97516
2015-10-01 10:49:19-05,6910,179128
2015-10-01 10:49:19-05,94,116646
2015-10-01 10:49:37-05,871,106464
2015-10-01 10:49:40-05,1718,161082
2015-10-01 10:49:45-05,4352,218224
2015-10-01 10:49:51-05,1507,390370
2015-10-01 10:49:56-05,1714,147060
2015-10-01 10:49:57-05,1589,193942
2015-10-01 10:49:59-05,3893,89556
2015-10-01 10:50:11-05,3134,162386
2015-10-01 10:50:17-05,9134,230548
2015-10-01 10:50:19-05,94,116646
2015-10-01 10:50:24-05,871,106464
2015-10-01 10:50:33-05,739,88870
2015-10-01 10:50:49-05,4767,123024
2015-10-01 10:50:54-05,484,99316
2015-10-01 10:50:55-05,871,106464
2015-10-01 10:51:12-05,4029,299900
2015-10-01 10:51:14-05,3893,89556
2015-10-01 10:51:14-05,7674,265082
2015-10-01 10:51:36-05,1507,390370
2015-10-01 10:51:59-05,5785,164284
2015-10-01 10:52:00-05,2638,171844
2015-10-01 10:52:02-05,5814,802858
2015-10-01 10:52:06-05,3723,242102
2015-10-01 10:52:06-05,7287,221050
2015-10-01 10:52:35-05,2129,172174
2015-10-01 10:52:36-05,9052,297562
2015-10-01 10:52:38-05,8156,251826
2015-10-01 10:52:41-05,8155,243618
2015-10-01 10:52:52-05,5403,112918
2015-10-01 10:53:05-05,5892,264394
2015-10-01 10:53:05-05,1507,390370
2015-10-01 10:53:11-05,484,99316
2015-10-01 10:53:18-05,6412,133032
2015-10-01 10:53:30-05,7739,149762
2015-10-01 10:53:38-05,8156,251826
2015-10-01 10:53:42-05,9631,108358
2015-10-01 10:53:44-05,5972,279342
2015-10-01 10:53:46-05,1718,161082
2015-10-01 10:54:00-05,7674,265082
2015-10-01 10:54:09-05,94,116646
2015-10-01 10:54:18-05,6412,133032
2015-10-01 10:55:02-05,2034,72394
2015-10-01 10:55:03-05,2638,171844
2015-10-01 10:55:05-05,4732,183848
2015-10-01 10:55:06-05,5810,97516
2015-10-01 10:55:11-05,871,106464
2015-10-01 10:55:16-05,6836,92610
2015-10-01 10:55:25-05,7117,211826
2015-10-01 10:55:34-05,3039,133662
