,localminute,dataid,meter_value
52,2015-10-01 04:17:33-05,77,58832
53,2015-10-01 04:49:34-05,77,58832
54,2015-10-01 05:10:33-05,77,58832
55,2015-10-01 05:40:34-05,77,58832
56,2015-10-01 05:57:33-05,77,58832
57,2015-10-01 06:33:33-05,77,58834
58,2015-10-01 07:05:33-05,77,58838
59,2015-10-01 07:19:34-05,77,58838
60,2015-10-01 07:40:33-05,77,58840
61,2015-10-01 08:19:33-05,77,58840
62,2015-10-01 09:09:33-05,77,58846
63,2015-10-01 09:20:33-05,77,58846
64,2015-10-01 10:15:33-05,77,58846
65,2015-10-01 10:34:33-05,77,58846
66,2015-10-01 10:43:32-05,77,58846
67,2015-10-01 11:07:33-05,77,58846
68,2015-10-01 11:45:32-05,77,58846
69,2015-10-01 11:55:33-05,77,58846
70,2015-10-01 12:08:33-05,77,58846
71,2015-10-01 12:24:33-05,77,58846
72,2015-10-01 12:34:33-05,77,58846
73,2015-10-01 12:58:33-05,77,58846
74,2015-10-01 13:14:33-05,77,58846
75,2015-10-01 13:19:33-05,77,58846
76,2015-10-01 13:24:33-05,77,58846
77,2015-10-01 14:18:33-05,77,58846
78,2015-10-01 14:20:33-05,77,58846
79,2015-10-01 14:32:32-05,77,58846
80,2015-10-01 14:33:32-05,77,58846
81,2015-10-01 15:04:33-05,77,58846
82,2015-10-01 15:17:32-05,77,58846
83,2015-10-01 15:18:33-05,77,58846
84,2015-10-01 15:33:33-05,77,58846
85,2015-10-01 15:34:32-05,77,58846
86,2015-10-01 15:36:32-05,77,58846
87,2015-10-01 16:21:32-05,77,58846
88,2015-10-01 17:17:33-05,77,58846
89,2015-10-01 17:48:33-05,77,58846
90,2015-10-01 17:53:32-05,77,58846
91,2015-10-01 18:03:33-05,77,58846
92,2015-10-01 18:24:33-05,77,58848
93,2015-10-01 18:51:32-05,77,58848
94,2015-10-01 18:57:32-05,77,58848
95,2015-10-01 19:25:32-05,77,58848
96,2015-10-01 19:27:32-05,77,58848
97,2015-10-01 19:49:32-05,77,58848
98,2015-10-01 20:26:32-05,77,58852
99,2015-10-01 20:49:32-05,77,58852
100,2015-10-01 21:08:32-05,77,58852
101,2015-10-01 21:25:32-05,77,58852
102,2015-10-01 22:01:32-05,77,58852
103,2015-10-01 22:15:32-05,77,58852
104,2015-10-01 22:17:32-05,77,58852
105,2015-10-01 22:40:32-05,77,58852
106,2015-10-01 23:09:32-05,77,58852
107,2015-10-01 23:12:32-05,77,58852
108,2015-10-01 23:54:32-05,77,58852
109,2015-10-01 23:57:32-05,77,58852
110,2015-10-02 00:17:31-05,77,58852
111,2015-10-02 00:27:32-05,77,58852
112,2015-10-02 00:42:31-05,77,58852
113,2015-10-02 00:54:32-05,77,58852
114,2015-10-02 01:36:31-05,77,58852
115,2015-10-02 02:11:32-05,77,58852
116,2015-10-02 02:19:31-05,77,58852
117,2015-10-02 02:58:32-05,77,58852
118,2015-10-02 03:01:32-05,77,58852
119,2015-10-02 03:22:31-05,77,58852
120,2015-10-02 03:34:32-05,77,58852
121,2015-10-02 03:37:31-05,77,58852
122,2015-10-02 03:49:31-05,77,58852
123,2015-10-02 04:07:32-05,77,58852
124,2015-10-02 04:38:31-05,77,58854
125,2015-10-01 00:08:13-05,94,116642
126,2015-10-01 00:19:20-05,94,116642
127,2015-10-01 00:24:53-05,94,116642
128,2015-10-01 00:30:16-05,94,116642
129,2015-10-01 00:39:56-05,94,116642
130,2015-10-01 00:42:51-05,94,116642
131,2015-10-01 00:45:26-05,94,116642
132,2015-10-01 00:51:26-05,94,116642
133,2015-10-01 00:55:40-05,94,116642
134,2015-10-01 00:57:43-05,94,116642
135,2015-10-01 01:13:25-05,94,116644
136,2015-10-01 01:16:14-05,94,116644
137,2015-10-01 01:17:15-05,94,116644
138,2015-10-01 01:20:19-05,94,116644
139,2015-10-01 01:29:54-05,94,116644
140,2015-10-01 01:31:12-05,94,116644
141,2015-10-01 01:32:15-05,94,116644
142,2015-10-01 01:38:44-05,94,116644
143,2015-10-01 01:40:39-05,94,116644
144,2015-10-01 01:46:53-05,94,116644
145,2015-10-01 01:49:22-05,94,116644
146,2015-10-01 01:56:06-05,94,116644
147,2015-10-01 02:04:47-05,94,116644
148,2015-10-01 02:06:44-05,94,116644
149,2015-10-01 02:13:11-05,94,116644
150,2015-10-01 02:13:43-05,94,116644
151,2015-10-01 02:21:19-05,94,116644
152,2015-10-01 02:24:51-05,94,116644
153,2015-10-01 02:36:44-05,94,116644
154,2015-10-01 02:38:13-05,94,116644
155,2015-10-01 02:39:33-05,94,116644
156,2015-10-01 02:42:57-05,94,116644
157,2015-10-01 02:51:52-05,94,116644
