dataid,totalConsumption,morningTotal,morningMean,morningSTD,noonTotal,noonMean,noonSTD,nightTotal,nightMean,nightSTD,elseConsumption
5403,12170,3355,18.333333333333332,21.591167323126086,1958,10.699453551912569,8.226463344289963,1695,9.262295081967213,7.721027224357225,5162
5439,14898,3970,24.658385093167702,27.434870495980228,1507,9.360248447204969,11.979564792140048,1993,12.378881987577639,13.376972937149434,7428
5484,23000,5066,27.683060109289617,22.000946016215046,3524,19.256830601092897,13.980261057810331,5133,28.049180327868854,15.468380824736201,9277
5545,10004,1717,24.884057971014492,7.181974682805937,1655,23.985507246376812,6.870421276080314,1662,24.08695652173913,6.602017984061977,4970
5636,18752,4630,28.757763975155278,24.198397461829778,2238,13.900621118012422,16.400350310205027,2335,14.503105590062113,16.267990222620025,9549
5658,5414,1151,11.8659793814433,7.772047277659396,865,8.917525773195877,4.7768127731735825,990,10.206185567010309,6.293407030221318,2408
5785,23910,8911,48.69398907103825,57.29269417123607,2710,14.808743169398907,25.045347507146115,2765,15.109289617486338,24.64633051170251,9524
5810,17766,3176,17.3551912568306,22.01786564308816,1867,10.202185792349727,15.382112797968153,7341,40.114754098360656,25.780980637757953,5382
5814,12974,2761,15.087431693989071,16.352771041209152,1275,6.967213114754099,9.54191308637973,1932,10.557377049180328,13.250661915827475,7006
5892,20464,4510,24.6448087431694,23.47396099160838,1432,7.825136612021858,10.417619682284679,4500,24.59016393442623,20.81643191514923,10022
5972,39498,9137,49.92896174863388,40.48409770121593,5717,31.240437158469945,37.28676502072192,6190,33.82513661202186,36.02764606131023,18454
6101,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
6412,23202,6995,38.224043715846996,39.948177783705304,3216,17.57377049180328,24.739600574848893,3956,21.617486338797814,28.81457812995343,9035
6505,23544,4034,22.920454545454547,18.67985156094242,3445,19.573863636363637,19.66033150972572,3586,20.375,20.81373699572647,12479
6578,4930,1252,13.758241758241759,17.01217447668197,760,8.351648351648352,9.432669003823047,691,7.593406593406593,6.981888692452973,2227
6673,5224,1570,20.38961038961039,17.438691006037345,1109,14.402597402597403,12.045648824001224,476,6.181818181818182,6.766470569428508,2069
6685,14064,2361,17.886363636363637,5.916909163540266,2339,17.71969696969697,5.961129639157272,2350,17.803030303030305,5.95493097680197,7014
6830,15686,3239,17.69945355191257,23.216311152431846,2157,11.78688524590164,15.7213940976877,2819,15.404371584699453,16.86138870249657,7471
6836,11516,3616,19.759562841530055,18.750799001559123,986,5.387978142076503,7.834857502657846,2036,11.12568306010929,17.94863790585529,4878
6863,25600,4383,30.02054794520548,12.748606788281682,4281,29.32191780821918,13.815285822211893,4249,29.102739726027398,13.809233287940014,12687
6910,26106,6220,33.98907103825137,30.552827862472252,3951,21.59016393442623,30.294570407054607,5892,32.19672131147541,25.526469497129963,10043
7016,27296,5528,35.210191082802545,46.5580976485443,5811,37.01273885350319,52.52781941261131,4358,27.75796178343949,44.39019247764489,11599
7017,33600,9224,50.404371584699454,55.293161886268095,4779,26.114754098360656,30.52049299567579,3104,16.961748633879782,29.579265762734853,16493
7030,19032,4737,25.885245901639344,32.28667611334015,2111,11.53551912568306,12.885693156306598,2693,14.71584699453552,20.883913337889005,9491
7117,18316,5161,28.202185792349727,29.97025110849866,2485,13.579234972677595,17.713043740148567,3056,16.69945355191257,18.716532235870165,7614
7287,18046,5243,28.650273224043715,20.839173059532136,1980,10.819672131147541,15.758604065027281,4691,25.633879781420767,16.320637969917424,6132
7429,16748,6933,37.885245901639344,52.507121045232125,2608,14.251366120218579,21.2937350850296,2848,15.562841530054644,20.090645312786176,4359
7460,34622,9498,52.18681318681319,38.97164708679129,5738,31.52747252747253,27.56205412660342,4810,26.428571428571427,25.666989471081997,14576
7566,1070,175,25.0,10.993504575754852,178,25.428571428571427,11.08225277326827,161,23.0,9.531901324349873,556
7674,27142,7624,41.66120218579235,46.20061945362867,3103,16.956284153005466,21.764719317223193,4843,26.46448087431694,25.177351163610414,11572
7682,20316,4825,26.366120218579233,18.86918874393915,3092,16.896174863387976,13.73341569602425,3691,20.169398907103826,13.905172335195067,8708
7739,11590,2706,14.78688524590164,19.95112724325242,1426,7.7923497267759565,11.670828911617571,1441,7.8743169398907105,12.524535328273323,6017
7741,18356,3609,19.82967032967033,22.853777885233356,1998,10.978021978021978,15.53654184016396,3184,17.494505494505493,16.3551743510171,9565
7794,35646,11325,70.3416149068323,57.84269797643708,4718,29.304347826086957,32.444131335497985,5249,32.60248447204969,32.42119533377628,14354
